Statistic Label,Age Group,Sex,Education Attainment Level,NUTS 2 Region,UNIT,Unemployment rate (%)
Annual unemployment rate,All ages,Both sexes,Tertiary education (Levels 5-8),Eastern and Midland,%,3.616666667
Annual unemployment rate,All ages,Both sexes,Tertiary education (Levels 5-8),Northern and Western,%,3.7
Annual unemployment rate,All ages,Both sexes,Tertiary education (Levels 5-8),Southern,%,3.366666667

